"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"255" "SRR3681516" "SRR3681514" 0.834052176722312 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"256" "SRR3681517" "SRR3681514" 0.806029377861605 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"266" "SRR3681530" "SRR3681514" 0.744351263019118 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"267" "SRR3681531" "SRR3681514" 0.713477002064214 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"268" "SRR3681532" "SRR3681514" 0.817290269446274 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"269" "SRR3681533" "SRR3681514" 0.751770721393859 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"270" "SRR3681534" "SRR3681514" 0.765013451905872 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"290" "SRR3681525" "SRR3681515" 0.596775320099668 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"293" "SRR3681530" "SRR3681515" 0.613701350328707 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"294" "SRR3681531" "SRR3681515" 0.513931067096256 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"295" "SRR3681532" "SRR3681515" 0.571513985493181 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"296" "SRR3681533" "SRR3681515" 0.478587867389392 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"297" "SRR3681534" "SRR3681515" 0.47963746214192 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"317" "SRR3681525" "SRR3681516" 0.619383269114477 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"320" "SRR3681530" "SRR3681516" 0.690800484987291 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"321" "SRR3681531" "SRR3681516" 0.582322407275967 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"322" "SRR3681532" "SRR3681516" 0.611960173098199 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"323" "SRR3681533" "SRR3681516" 0.47256365338428 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"324" "SRR3681534" "SRR3681516" 0.435480635869727 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"344" "SRR3681525" "SRR3681517" 0.622925243552265 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"347" "SRR3681530" "SRR3681517" 0.689415280071298 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"348" "SRR3681531" "SRR3681517" 0.589540120112873 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"349" "SRR3681532" "SRR3681517" 0.625144886351143 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"350" "SRR3681533" "SRR3681517" 0.449634084002167 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"351" "SRR3681534" "SRR3681517" 0.36458257841442 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"536" "SRR3681530" "SRR3681525" 0.613444040649313 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"537" "SRR3681531" "SRR3681525" 0.554939925077537 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"538" "SRR3681532" "SRR3681525" 0.626339479113107 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"539" "SRR3681533" "SRR3681525" 0.579173020860902 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"540" "SRR3681534" "SRR3681525" 0.606914129521732 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"1110" "ETEC1.fwd" "ETEC10.fwd" 0.367040530077735 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "3" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"1210" "ETEC20.fwd" "ETEC10.fwd" 0.610928905958476 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
"1717" "ETEC25.fwd" "ETEC10.fwd" 0.628662236715287 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 180 6 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180
