"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time" "nmodel.means" "nmodel.sds" "nmodel.Zscores"
"214" "SRR3681532" "SRR3681512" 0.61228088108581 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.995937208868012 0.00284469165083027 -134.86745660825
"215" "SRR3681533" "SRR3681512" 0.601115890646782 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.996724708725813 0.0027290580652629 -144.961671250084
"216" "SRR3681534" "SRR3681512" 0.674347492195825 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997751061401225 0.0023349206684955 -138.507305009974
"226" "SRR3681514" "SRR3681513" 0.781892324130164 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.999316849128164 0.00163700394139875 -132.818571476511
"236" "SRR3681525" "SRR3681513" 0.582660837501753 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998004081347172 0.00247816491675246 -167.601131400775
"239" "SRR3681530" "SRR3681513" 0.586264963024975 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.995853732017022 0.00283205040134326 -144.626228684976
"240" "SRR3681531" "SRR3681513" 0.496266443650103 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.996416452860442 0.00258023714277806 -193.838775869974
"241" "SRR3681532" "SRR3681513" 0.564806106865923 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.996101095400922 0.0028589194853634 -150.859438589673
"242" "SRR3681533" "SRR3681513" 0.528214349864576 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.996972443398388 0.00269944820957172 -173.649596933064
"243" "SRR3681534" "SRR3681513" 0.583573221537736 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997906657944189 0.00254330568116549 -162.911379263142
