"Observed" "Shannon" "Simpson" "Hill_Simpson" "Study" "Environment" "Environment_Sub" "Extraction_Kit" "DNA_Fragment" "Time_since_dist" "Disturbance" "Experimental_Unit_ID" "Selective_Factor" "Legacy" "Keep" "StudyxDisturbance" "repID" "Time_series" "Time_series_Time" "sample_sums" "Design" "Rank"
"SRR3681519" 203 3.96895543324063 0.958063111111111 23.8453549248606 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 2 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.2.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.2" 86663 "Repeated" 4
"SRR3681520" 218 4.29211082917955 0.972400888888889 36.2330509839286 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 2 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.2.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.2" 76404 "Repeated" 4
"SRR3681521" 251 4.38372178961097 0.969782222222222 33.0931019267539 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 87114 "Repeated" 5
"SRR3681522" 238 4.29056488265973 0.964207111111111 27.9385104427943 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 93199 "Repeated" 5
"SRR3681523" 226 4.04241378600846 0.942581333333333 17.4159390674345 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 99322 "Repeated" 5
"SRR3681525" 147 4.44642088007153 0.980463111111111 51.1852222576095 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 6482 "Repeated" 3
"SRR3681528" 176 3.59862944724327 0.919096888888889 12.3604640942252 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" -1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.-1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 13941 "Repeated" 1
"SRR3681529" 360 4.72974699349779 0.972808888888889 36.776724419745 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 0 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.0.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.0" 54687 "Repeated" 2
"SRR3681530" 386 5.07416969892393 0.984194666666667 63.2697823519487 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 48812 "Repeated" 3
"SRR3681531" 330 4.80187465349517 0.982224888888889 56.2584387658149 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 78471 "Repeated" 3
