"Observed" "Shannon" "Simpson" "Hill_Simpson" "Study" "Environment" "Environment_Sub" "Extraction_Kit" "DNA_Fragment" "Time_since_dist" "Disturbance" "Experimental_Unit_ID" "Selective_Factor" "Legacy" "Keep" "StudyxDisturbance" "repID" "Time_series" "Time_series_Time" "sample_sums" "Design" "nReps" "Rank"
"SRR3681519" 218 3.98784464196065 0.957913889457382 23.7608081884251 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 2 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.2.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.2" 1767 "Repeated" 3 4
"SRR3681520" 229 4.2700498372988 0.970386789948016 33.7687132953353 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 2 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.2.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.2" 1767 "Repeated" 3 4
"SRR3681521" 283 4.48467849361307 0.970844146714157 34.2984302395834 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 1767 "Repeated" 6 5
"SRR3681522" 245 4.28746390864185 0.965988734546994 29.4020227321952 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 1767 "Repeated" 6 5
"SRR3681523" 248 4.02422202258085 0.935892865778921 15.5988878952443 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 1767 "Repeated" 6 5
"SRR3681525" 149 4.41292364776241 0.97896767403658 47.5458587765917 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1767 "Repeated" 12 3
"SRR3681528" 199 3.5679571849116 0.909304039440295 11.025849374424 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" -1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.-1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1767 "Repeated" 3 1
"SRR3681529" 393 4.74470127969641 0.971173392341324 34.6901727681795 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 0 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.0.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.0" 1767 "Repeated" 3 2
"SRR3681530" 413 5.07301639258358 0.982386319780136 56.7740521865624 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1767 "Repeated" 12 3
"SRR3681531" 351 4.84923332529171 0.983128723830497 59.2723389714676 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1767 "Repeated" 12 3
"SRR3681532" 383 4.73958522023179 0.972321908702237 36.1296589870283 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1767 "Repeated" 12 3
"SRR3681533" 250 3.97235385286217 0.947653468336852 19.1034624115124 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1767 "Repeated" 12 3
"SRR3681534" 160 3.39090359389102 0.913130719161487 11.5115491960727 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1767 "Repeated" 12 3
"ETEC10.fwd" 163 3.0020655123502 0.893880439158431 9.42333338047775 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "4" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 59704 "Repeated" 10 6
"ETEC11.fwd" 168 2.95942438990287 0.882238278742192 8.49172370545407 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "4" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 59704 "Repeated" 10 6
