"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"255" "SRR3681516" "SRR3681514" 0.832771571353907 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"256" "SRR3681517" "SRR3681514" 0.802254581648853 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"266" "SRR3681530" "SRR3681514" 0.738859463115376 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"267" "SRR3681531" "SRR3681514" 0.70612629968991 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"268" "SRR3681532" "SRR3681514" 0.821525521298279 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"269" "SRR3681533" "SRR3681514" 0.738852208368002 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"270" "SRR3681534" "SRR3681514" 0.77287981040487 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"290" "SRR3681525" "SRR3681515" 0.601851346313503 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"293" "SRR3681530" "SRR3681515" 0.62317645634491 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"294" "SRR3681531" "SRR3681515" 0.540901539893548 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"295" "SRR3681532" "SRR3681515" 0.627665704904917 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"296" "SRR3681533" "SRR3681515" 0.497257666688412 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"297" "SRR3681534" "SRR3681515" 0.486454707820777 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"317" "SRR3681525" "SRR3681516" 0.636054553133361 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
