"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "nmodel.Zscores" "nmodel.sds" "nmodel.means" "Rank" "Rank." "Time" "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time"
"212" "SRR3681530" "SRR3681512" 0.57973004185237 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -123.677114668173 0.00335498877495802 0.994665373283287 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"213" "SRR3681531" "SRR3681512" 0.577310831151993 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -130.116111531456 0.00321120928513733 0.99514089664777 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"214" "SRR3681532" "SRR3681512" 0.647328514220722 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -110.122427667012 0.00315910905180475 0.995217272270292 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"215" "SRR3681533" "SRR3681512" 0.63772166617391 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -120.328026134374 0.00297689981466391 0.995926144872202 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"216" "SRR3681534" "SRR3681512" 0.693694605127989 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -108.025746683725 0.00280995805037929 0.997242421670157 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"226" "SRR3681514" "SRR3681513" 0.786936452228811 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -97.7539440555117 0.00216969320710278 0.99903252061356 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"236" "SRR3681525" "SRR3681513" 0.589711712560103 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -139.374720587969 0.00292535033954105 0.997431598755556 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"239" "SRR3681530" "SRR3681513" 0.589760685559797 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -127.268704737449 0.00318619234111352 0.995263257857695 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"240" "SRR3681531" "SRR3681513" 0.515711012585106 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -146.64714918582 0.00327286563494646 0.995667427618244 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"241" "SRR3681532" "SRR3681513" 0.575591319630753 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -132.013702499112 0.00318099717697087 0.9955265346019 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"242" "SRR3681533" "SRR3681513" 0.540291972210914 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -155.241053415661 0.00293784429234233 0.996366014925323 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"243" "SRR3681534" "SRR3681513" 0.572222040786682 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -155.963412076592 0.00272593116614367 0.997367566544372 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"254" "SRR3681515" "SRR3681514" 0.801349074647391 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -85.0440801215799 0.00232485041235792 0.999063839386646 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"255" "SRR3681516" "SRR3681514" 0.832771571353907 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -62.3274998523251 0.00267012851593178 0.999194006036334 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"256" "SRR3681517" "SRR3681514" 0.802254581648853 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -77.8889830640306 0.00252997368140695 0.999311658872402 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
