"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"48" "SRR3681528" "SRR3681503" 0.744227627298702 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 0 1 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 0
"60" "SRR3681510" "SRR3681504" 0.836510317406829 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"75" "SRR3681528" "SRR3681504" 0.830537594782308 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"87" "SRR3681510" "SRR3681505" 0.835580466170888 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"102" "SRR3681528" "SRR3681505" 0.840311578456586 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"114" "SRR3681510" "SRR3681506" 0.85241791293057 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"129" "SRR3681528" "SRR3681506" 0.855672542168134 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"145" "SRR3681514" "SRR3681510" 0.672812480970037 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"155" "SRR3681525" "SRR3681510" 0.720449460432899 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"157" "SRR3681529" "SRR3681510" 0.66399550169868 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 -1 2 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0
"158" "SRR3681530" "SRR3681510" 0.670003047203101 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"159" "SRR3681531" "SRR3681510" 0.725226547206525 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"160" "SRR3681532" "SRR3681510" 0.778412956116525 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"161" "SRR3681533" "SRR3681510" 0.753848821490564 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"162" "SRR3681534" "SRR3681510" 0.792649760323707 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"183" "SRR3681528" "SRR3681511" 0.549307379740772 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 0 1 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 0
"210" "SRR3681528" "SRR3681512" 0.706392838883188 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"237" "SRR3681528" "SRR3681513" 0.771661636718646 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"264" "SRR3681528" "SRR3681514" 0.627127153948144 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"291" "SRR3681528" "SRR3681515" 0.798063545832714 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"318" "SRR3681528" "SRR3681516" 0.809700824913192 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"345" "SRR3681528" "SRR3681517" 0.826384191036077 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"372" "SRR3681528" "SRR3681518" 0.83619250415502 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 1 4 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 2
"399" "SRR3681528" "SRR3681519" 0.817677621428837 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 1 4 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 2
"426" "SRR3681528" "SRR3681520" 0.834364590152374 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 1 4 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 2
"453" "SRR3681528" "SRR3681521" 0.830455922944397 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"480" "SRR3681528" "SRR3681522" 0.814948811759555 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"507" "SRR3681528" "SRR3681523" 0.814247148678607 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"534" "SRR3681528" "SRR3681525" 0.699687421816352 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"365" "ETEC12.fwd" "ETEC10.fwd" 0.638515729122641 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "5" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"625" "ETEC15.fwd" "ETEC10.fwd" 0.865360743053829 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"1310" "ETEC21.fwd" "ETEC10.fwd" 0.870279952957622 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"1821" "ETEC26.fwd" "ETEC10.fwd" 0.845555756107049 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"2110" "ETEC29.fwd" "ETEC10.fwd" 0.885404992498681 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"2710" "ETEC35.fwd" "ETEC10.fwd" 0.741328900527316 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"55" "ETEC12.fwd" "ETEC11.fwd" 0.617100021028142 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "5" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"581" "ETEC15.fwd" "ETEC11.fwd" 0.871788379338348 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"6510" "ETEC21.fwd" "ETEC11.fwd" 0.91102249555693 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"7010" "ETEC26.fwd" "ETEC11.fwd" 0.871571305066545 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"731" "ETEC29.fwd" "ETEC11.fwd" 0.936778503845825 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
