"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "nmodel.Zscores" "nmodel.sds" "nmodel.means" "Rank" "Rank." "Time" "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time"
"26" "SRR3681533" "SRR3681502" 0.719623541554013 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -107.594744375013 0.00259514383438941 0.998847379031533 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"27" "SRR3681534" "SRR3681502" 0.70325517279436 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -124.02047993414 0.00238518869446768 0.999067419415726 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"33" "SRR3681510" "SRR3681503" 0.776656566266169 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 0 -82.129681768596 0.00270357114824799 0.998700004310534 1 2 0 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"48" "SRR3681528" "SRR3681503" 0.744227627298702 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 0 -93.7956238879154 0.00271427907534072 0.998815126576199 1 2 0 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"60" "SRR3681510" "SRR3681504" 0.836510317406829 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 -53.5681242787153 0.00300476345021749 0.997469859336221 1 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"75" "SRR3681528" "SRR3681504" 0.830537594782308 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 -56.8873000395839 0.0029412527093251 0.997857520149924 1 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"87" "SRR3681510" "SRR3681505" 0.835580466170888 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 -50.7687321653053 0.00317867313320643 0.996957671111697 1 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"102" "SRR3681528" "SRR3681505" 0.840311578456586 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 -55.4081595879798 0.00283934958555968 0.997634713419341 1 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"114" "SRR3681510" "SRR3681506" 0.85241791293057 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 -48.848767207682 0.00296180278710969 0.997098327793155 1 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"129" "SRR3681528" "SRR3681506" 0.855672542168134 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 -47.1819142186311 0.00300576801567627 0.997490430844877 1 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
