"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"48" "SRR3681528" "SRR3681503" 0.74733658270963 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 0 1 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 0
"60" "SRR3681510" "SRR3681504" 0.838892467796567 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"75" "SRR3681528" "SRR3681504" 0.805295535047287 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"87" "SRR3681510" "SRR3681505" 0.827439874290134 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"102" "SRR3681528" "SRR3681505" 0.812252994102705 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"114" "SRR3681510" "SRR3681506" 0.847295424402478 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"129" "SRR3681528" "SRR3681506" 0.837082263140696 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"145" "SRR3681514" "SRR3681510" 0.667528527028558 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"155" "SRR3681525" "SRR3681510" 0.706359647721061 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"157" "SRR3681529" "SRR3681510" 0.648292486802912 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 -1 2 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0
