"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time" "nmodel.means" "nmodel.sds" "nmodel.Zscores"
"48" "SRR3681528" "SRR3681503" 0.74733658270963 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 0 1 2 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 0 0.99912027211648 0.00220601931506539 -114.134852622261
"60" "SRR3681510" "SRR3681504" 0.838892467796567 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3 0.99801809731883 0.00252071483715537 -63.1271840736401
"75" "SRR3681528" "SRR3681504" 0.805295535047287 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3 0.998163035236645 0.00278485011126621 -69.2559715903941
"87" "SRR3681510" "SRR3681505" 0.827439874290134 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3 0.997611188731497 0.0026659510944728 -63.8313713984371
"102" "SRR3681528" "SRR3681505" 0.812252994102705 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3 0.997962150405224 0.00245590792653619 -75.6173121540606
"114" "SRR3681510" "SRR3681506" 0.847295424402478 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3 0.99790965516539 0.00243340353119611 -61.8944736588262
"129" "SRR3681528" "SRR3681506" 0.837082263140696 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3 0.998054530249467 0.00245464285610174 -65.5786917060569
"145" "SRR3681514" "SRR3681510" 0.667528527028558 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.999298545576041 0.00220015250163261 -150.794101000406
"155" "SRR3681525" "SRR3681510" 0.706359647721061 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998551000736863 0.00229304014879791 -127.425310528897
"157" "SRR3681529" "SRR3681510" 0.648292486802912 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 -1 2 1 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0 0.997124309927761 0.00278985807638682 -125.035687685097
"158" "SRR3681530" "SRR3681510" 0.66410597293308 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.996970775457151 0.00272684265647152 -122.069677080229
"159" "SRR3681531" "SRR3681510" 0.712775030701176 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997306300867893 0.00274147271158296 -103.787744800285
